query_id;precision_at_10;recall_at_10;average_precision
89;0.3;0.5;0.309611545597595
9;0.3;1.0;0.8055555555555555
90;0.3;0.23076923076923078;0.2104027939683951
91;0.4;0.4444444444444444;0.4453505788762367
92;0.7;0.5384615384615384;0.4870754296009172
93;0.1;1.0;0.5
94;0.6;0.5;0.5743903533925464
95;0.2;1.0;0.5
96;0.5;0.38461538461538464;0.4305571509094777
97;0.2;0.2;0.15135301465638717
98;0.1;0.2;0.028329945394246957
99;0.2;0.5;0.22829670329670326
