preprocessing,k1,b,query_id,precision_at_10,recall_at_10,average_precision
without_stopwords_with_stemming,0.5,0.0,182,0.2,1.0,0.8333333333333333
without_stopwords_with_stemming,0.5,0.0,183,0.7,0.5384615384615384,0.5935585366122323
without_stopwords_with_stemming,0.5,0.0,184,0.3,0.42857142857142855,0.2732463585047171
without_stopwords_with_stemming,0.5,0.0,185,0.6,0.6666666666666666,0.7887311762311762
without_stopwords_with_stemming,0.5,0.0,186,0.1,0.0625,0.11644012315489556
without_stopwords_with_stemming,0.5,0.0,187,0.2,0.3333333333333333,0.1457571298631742
without_stopwords_with_stemming,0.5,0.0,188,0.5,0.45454545454545453,0.3714363463159207
without_stopwords_with_stemming,0.5,0.0,189,0.1,0.1111111111111111,0.09056010439529052
without_stopwords_with_stemming,0.5,0.0,19,0.1,0.1111111111111111,0.044594842359463586
without_stopwords_with_stemming,0.5,0.0,190,0.2,0.4,0.3912990289777506
without_stopwords_with_stemming,0.5,0.0,191,0.3,0.23076923076923078,0.2595659888239181
without_stopwords_with_stemming,0.5,0.0,192,0.3,0.75,0.7038934426229508
without_stopwords_with_stemming,0.5,0.0,193,0.7,0.7777777777777778,0.7925160122528543
without_stopwords_with_stemming,0.5,0.0,194,0.2,0.3333333333333333,0.18343892137751786
without_stopwords_with_stemming,0.5,0.0,195,0.1,0.3333333333333333,0.16248651564185543
without_stopwords_with_stemming,0.5,0.0,196,0.1,0.08333333333333333,0.07105327914960487
without_stopwords_with_stemming,0.5,0.0,197,0.2,0.6666666666666666,0.54
without_stopwords_with_stemming,0.5,0.0,198,0.3,0.75,0.38988663484486874
without_stopwords_with_stemming,0.5,0.0,199,0.1,0.125,0.10624807254639779
without_stopwords_with_stemming,0.5,0.0,2,0.4,0.16666666666666666,0.23446227657312682
without_stopwords_with_stemming,0.5,0.0,20,0.5,0.5555555555555556,0.4004767947891887
without_stopwords_with_stemming,0.5,0.0,200,0.1,0.3333333333333333,0.18361581920903955
without_stopwords_with_stemming,0.5,0.0,201,0.5,0.3125,0.3129238628191142
without_stopwords_with_stemming,0.5,0.0,202,0.3,0.21428571428571427,0.18644931661052616
without_stopwords_with_stemming,0.5,0.0,203,0.2,0.14285714285714285,0.1670487974793459
without_stopwords_with_stemming,0.5,0.0,204,0.0,0.0,0.037070650393301596
without_stopwords_with_stemming,0.5,0.0,205,0.2,1.0,0.8333333333333333
without_stopwords_with_stemming,0.5,0.0,206,0.2,0.6666666666666666,0.1865114451321348
without_stopwords_with_stemming,0.5,0.0,207,0.1,0.2,0.07636503281664572
without_stopwords_with_stemming,0.5,0.0,208,0.5,0.8333333333333334,0.6155122655122655
without_stopwords_with_stemming,0.5,0.0,209,0.1,0.08333333333333333,0.1146764778916704
without_stopwords_with_stemming,0.5,0.0,21,0.0,0.0,0.03037276562628543
without_stopwords_with_stemming,0.5,0.0,210,0.2,0.3333333333333333,0.3693254453964368
without_stopwords_with_stemming,0.5,0.0,211,0.1,0.09090909090909091,0.14637244600604973
without_stopwords_with_stemming,0.5,0.0,212,0.5,0.35714285714285715,0.4525025436433978
without_stopwords_with_stemming,0.5,0.0,213,0.5,0.45454545454545453,0.5271302589797069
without_stopwords_with_stemming,0.5,0.0,214,0.1,0.25,0.11352970420084513
without_stopwords_with_stemming,0.5,0.0,215,0.0,0.0,0.035173160173160176
without_stopwords_with_stemming,0.5,0.0,216,0.0,0.0,0.002577319587628866
without_stopwords_with_stemming,0.5,0.0,217,0.3,0.2,0.2169684827522757
without_stopwords_with_stemming,0.5,0.0,218,0.3,0.2,0.26240922631547775
without_stopwords_with_stemming,0.5,0.0,219,0.0,0.0,0.037486221117157374
without_stopwords_with_stemming,0.5,0.0,22,0.0,0.0,0.000846740050804403
without_stopwords_with_stemming,0.5,0.0,220,0.2,0.10526315789473684,0.15154593769332583
without_stopwords_with_stemming,0.5,0.0,221,0.3,0.16666666666666666,0.20352031095273476
without_stopwords_with_stemming,0.5,0.0,222,0.6,0.6666666666666666,0.8103581603581602
without_stopwords_with_stemming,0.5,0.0,223,0.3,0.75,0.47023809523809523
without_stopwords_with_stemming,0.5,0.0,224,0.1,0.125,0.1095553745752828
without_stopwords_with_stemming,0.5,0.0,225,0.3,0.125,0.09308168756939157
without_stopwords_with_stemming,0.5,0.0,23,0.3,0.09375,0.17949333024152955
without_stopwords_with_stemming,0.5,0.0,24,0.2,0.6666666666666666,0.35507246376811596
without_stopwords_with_stemming,0.5,0.0,25,0.6,0.6666666666666666,0.6758989791821205
without_stopwords_with_stemming,0.5,0.0,26,0.2,0.3333333333333333,0.1517130874239954
without_stopwords_with_stemming,0.5,0.0,27,0.1,0.3333333333333333,0.20161782661782665
without_stopwords_with_stemming,0.5,0.0,28,0.0,0.0,0.004033581914544346
without_stopwords_with_stemming,0.5,0.0,29,0.4,0.4444444444444444,0.3555555751288806
without_stopwords_with_stemming,0.5,0.0,3,0.5,0.625,0.5946035395763657
without_stopwords_with_stemming,0.5,0.0,30,0.2,0.2857142857142857,0.22239951585223672
without_stopwords_with_stemming,0.5,0.0,31,0.0,0.0,0.0008920606601248885
without_stopwords_with_stemming,0.5,0.0,32,0.1,0.16666666666666666,0.049214766970960756
without_stopwords_with_stemming,0.5,0.0,33,0.3,1.0,0.6388888888888888
without_stopwords_with_stemming,0.5,0.0,34,0.2,0.3333333333333333,0.2649305555555556
without_stopwords_with_stemming,0.5,0.0,35,0.0,0.0,0.04019842001586423
without_stopwords_with_stemming,0.5,0.0,36,0.1,0.5,0.5016129032258064
without_stopwords_with_stemming,0.5,0.0,37,0.0,0.0,0.052370057932080355
without_stopwords_with_stemming,0.5,0.0,38,0.1,0.1,0.05961772580629275
without_stopwords_with_stemming,0.5,0.0,39,0.2,0.15384615384615385,0.1579070989182816
without_stopwords_with_stemming,0.5,0.0,4,0.1,0.5,0.5256410256410257
